timestamp,city,temperature,description
2026-06-20T12:00:06.968Z,undefined,22.89,broken clouds
2026-06-20T14:26:13.531Z,undefined,24,overcast clouds
2026-06-20T17:38:34.110Z,undefined,21.78,overcast clouds
2026-06-20T19:43:14.572Z,undefined,19.56,overcast clouds
2026-06-20T21:21:43.981Z,undefined,18.45,overcast clouds
2026-06-20T23:13:13.287Z,undefined,17.34,overcast clouds
2026-06-21T04:48:04.612Z,undefined,16.78,clear sky
2026-06-21T09:56:31.858Z,undefined,22.89,clear sky
2026-06-21T12:14:38.012Z,undefined,25.11,clear sky
2026-06-21T15:57:07.101Z,undefined,25.11,clear sky
2026-06-21T17:46:27.325Z,undefined,22.89,scattered clouds
2026-06-21T19:49:45.623Z,undefined,20.69,scattered clouds
2026-06-21T21:19:42.813Z,undefined,19,few clouds
2026-06-21T23:20:00.961Z,undefined,16.25,few clouds
2026-06-22T04:55:57.877Z,undefined,17.34,clear sky
2026-06-22T12:12:47.742Z,undefined,25.11,clear sky
2026-06-22T18:14:04.047Z,undefined,18.33,clear sky
2026-06-22T22:07:22.288Z,undefined,17.34,clear sky
2026-06-23T03:57:36.243Z,undefined,14.56,clear sky
2026-06-23T07:55:27.163Z,undefined,20.67,clear sky
2026-06-23T11:22:29.112Z,undefined,25.67,clear sky
2026-06-23T15:11:25.514Z,undefined,27.34,clear sky
2026-06-23T18:02:01.739Z,undefined,21.8,clear sky
2026-06-23T21:45:17.858Z,undefined,20.11,clear sky
2026-06-23T23:11:19.827Z,undefined,18.45,clear sky
2026-06-24T03:59:36.026Z,undefined,16.78,clear sky
2026-06-24T07:51:23.614Z,undefined,22.89,clear sky
2026-06-24T10:54:53.494Z,undefined,26.78,clear sky
2026-06-24T14:40:20.562Z,undefined,29,clear sky
2026-06-24T17:59:43.756Z,undefined,23.47,few clouds
2026-06-24T20:01:05.769Z,undefined,22.89,clear sky
2026-06-24T23:08:14.951Z,undefined,20.67,clear sky
2026-06-25T03:59:48.022Z,undefined,17.89,clear sky
2026-06-25T07:52:15.917Z,undefined,24.56,clear sky
2026-06-25T10:46:59.670Z,undefined,27.89,clear sky
2026-06-25T14:40:39.944Z,undefined,27.91,broken clouds
2026-06-25T18:14:15.333Z,undefined,24.02,broken clouds
2026-06-25T21:47:31.154Z,undefined,19.77,clear sky
2026-06-25T23:21:54.603Z,undefined,20.67,clear sky
2026-06-26T04:06:56.183Z,undefined,19,clear sky
2026-06-26T09:35:19.203Z,undefined,27.34,clear sky
2026-06-26T12:14:41.141Z,undefined,29,clear sky
2026-06-26T16:20:28.400Z,undefined,27.89,few clouds
2026-06-26T19:56:25.651Z,undefined,22.34,clear sky
2026-06-26T21:24:45.832Z,undefined,21.23,clear sky
2026-06-26T23:11:45.501Z,undefined,20.11,clear sky
2026-06-27T03:53:09.219Z,undefined,17.89,clear sky
2026-06-27T06:56:35.080Z,undefined,21.78,clear sky
2026-06-27T10:13:08.087Z,undefined,25.67,clear sky
2026-06-27T13:52:27.625Z,undefined,27.34,clear sky
2026-06-27T15:19:07.771Z,undefined,26.23,clear sky
2026-06-27T17:15:41.609Z,undefined,24.56,few clouds
2026-06-27T19:27:03.622Z,undefined,21.78,clear sky
2026-06-27T21:09:55.267Z,undefined,20.11,clear sky
2026-06-27T23:07:45.098Z,undefined,18.45,clear sky
2026-06-28T04:15:06.783Z,undefined,16.23,clear sky
2026-06-28T09:17:13.080Z,undefined,24,clear sky
2026-06-28T11:48:52.326Z,undefined,25.11,clear sky
2026-06-28T13:57:18.800Z,undefined,26.23,clear sky
2026-06-28T15:22:31.189Z,undefined,26.23,clear sky
2026-06-28T17:18:09.315Z,undefined,24.56,clear sky
2026-06-28T19:27:35.381Z,undefined,21.78,clear sky
2026-06-28T21:07:08.287Z,undefined,20.11,clear sky
2026-06-28T23:08:25.052Z,undefined,18.45,clear sky
2026-06-29T04:22:02.849Z,undefined,17.89,clear sky
2026-06-29T11:08:40.970Z,undefined,26.78,clear sky
2026-06-29T15:54:37.374Z,undefined,28.45,clear sky
2026-06-29T18:10:52.959Z,undefined,25.13,clear sky
2026-06-29T21:38:10.061Z,undefined,22.34,clear sky
2026-06-29T23:02:19.908Z,undefined,21.23,clear sky
2026-06-30T04:02:04.908Z,undefined,20.11,clear sky
2026-06-30T09:47:15.980Z,undefined,28.45,clear sky
2026-06-30T12:13:15.519Z,undefined,31.23,clear sky
2026-06-30T16:24:09.221Z,undefined,30.11,clear sky
2026-06-30T20:04:18.635Z,undefined,22.36,clear sky
2026-06-30T23:16:51.356Z,undefined,22.34,clear sky
2026-07-01T04:18:03.303Z,undefined,21.23,clear sky
2026-07-01T09:57:15.332Z,undefined,29,clear sky
2026-07-01T12:40:25.106Z,undefined,31.23,clear sky
2026-07-01T16:29:21.737Z,undefined,30.67,clear sky
2026-07-01T20:02:01.192Z,undefined,21.8,clear sky
2026-07-01T23:19:19.780Z,undefined,22.34,clear sky
2026-07-02T03:57:58.499Z,undefined,20.67,clear sky
2026-07-02T07:38:27.879Z,undefined,28.45,clear sky
2026-07-02T10:45:22.848Z,undefined,32.34,clear sky
2026-07-02T14:11:22.997Z,undefined,33.45,clear sky
2026-07-02T17:53:35.160Z,undefined,26.8,few clouds
